index,Year,S1,S2,S3,S4,Average_bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,rate_of_SST_change,reef_longitude,reef_latitude,Month,eta,salt,temp,wspeed_u,wspeed_v,mean_wspeed,u,v,mean_cur
5097,2010.0,0.0,0.0,0.0,0.0,0.0,297.28,295.6,296.8,291.83,301.66,2.15,5.0,0.15999999999999998,0.71,0.0,-2.64,2.83,12.0,3.34,18.0,3.0,7.73,1.87,10.260000000000002,1.21,-4.06,2.15,-7.82,2.0,-2.85,1.0,1.1,4.0,0.0,0.0,0.77,5.35,0.23,0.038888888,153.4913889,-26.968611110000005,10.0,-0.33048045637931034,35.19429768965517,23.267047948275863,-3.2946417689655174,1.3819060827586207,6.046273246551724,-0.04437986592758621,-0.2590130102115517,0.4132407235172414
5102,2010.0,0.0,0.0,0.0,0.0,0.0,297.62,296.17,296.8,291.83,301.66,2.15,4.0,0.41,0.71,0.0,-2.64,2.83,11.0,3.34,18.0,3.0,6.56,1.87,10.260000000000002,1.21,-3.49,2.15,-7.82,2.0,-2.85,1.0,1.1,4.0,0.0,0.0,0.77,5.35,0.23,0.038888888,153.4833333,-26.96833333,10.0,-0.33048045637931034,35.19429768965517,23.267047948275863,-3.2946417689655174,1.3819060827586207,6.046273246551724,-0.04437986592758621,-0.2590130102115517,0.4132407235172414
5106,2010.0,2.0,2.0,3.0,1.0,2.0,298.94,295.8,296.1,290.84,304.48,2.77,6.0,-1.21,1.06,0.0,-2.83,4.77,4.0,6.839999999999999,32.0,7.0,0.0,6.200000000000001,43.1,3.34,-3.9199999999999995,2.77,-8.88,4.75,-3.6100000000000003,0.0,2.45,9.0,1.0,0.0,2.27,16.09,0.76,0.041287878,153.3855556,-27.529166670000002,11.0,-0.2980645488095238,35.17287938095238,24.257499476190475,-3.8130822976190473,-0.41234880249999994,6.041817721428571,0.005311864862619049,-0.34957505008285716,0.4692697997619048
5132,2010.0,0.0,0.0,0.0,0.0,0.0,295.76,295.49,296.45,291.35,301.64,2.33,4.0,1.34,0.71,0.0,-2.71,2.53,14.0,3.58,15.0,3.0,10.78,2.15,12.54,1.3,-4.1,2.33,-8.23,2.04,-3.13,3.0,0.9899999999999999,3.0,0.0,0.0,0.73,4.4,0.23,0.038888888,153.1516667,-26.635,9.0,-0.22880505735294118,35.57860732352941,22.283627705882353,-0.17231248035294117,-0.5090246275588236,5.732538697058823,0.02056498273529412,-0.0635611121,0.2290958288235294
5134,2010.0,0.0,0.0,0.0,0.0,0.0,298.26,296.67,296.46,291.48,302.64,2.32,5.0,0.0,0.79,0.0,-3.23,3.16,19.0,5.05,26.0,4.0,9.66,2.67,17.35,1.67,-2.85,2.32,-8.03,3.11,-3.05,1.0,1.52,5.0,1.0,0.0,1.09,7.21,0.34,0.038888888,153.1030556,-26.35972222,11.0,-0.28724536114285715,35.44933942857143,23.99659637142857,-4.56795204,0.2449544677714286,6.1444670200000004,-0.02846318018,-0.1513520411714286,0.25083234979999997
5144,2010.0,10.0,10.0,10.0,10.0,10.0,298.59,296.63,295.98,290.85,304.01,2.67,6.0,-0.29,1.09,0.0,-2.99,4.61,6.0,7.21,30.0,8.0,0.0,5.86,36.68,3.57,-2.76,2.67,-8.53,4.61,-3.3899999999999997,0.0,2.58,10.0,2.0,0.0,2.51,17.89,0.86,0.041287878,153.3519444,-27.56888889,11.0,-0.2980645488095238,35.17287938095238,24.257499476190475,-3.8130822976190473,-0.41234880249999994,6.041817721428571,0.005311864862619049,-0.34957505008285716,0.4692697997619048
5163,2010.0,1.0,1.0,0.0,0.0,0.5,299.48,298.54,296.71,291.29,301.67,2.19,6.0,0.19,0.73,0.0,-2.65,2.26,12.0,4.12,20.0,4.0,2.27,2.17,11.09,1.36,-1.06,2.19,-8.31,2.05,-2.89,4.0,1.34,6.0,0.0,0.0,0.94,6.13,0.3,0.041287878,153.4691667,-27.00694444,12.0,-0.197754330078125,34.909421046874996,25.357589140625,-3.5213701453125,0.373773066390625,7.332800915625,-0.05433679398875,-0.435657796035,0.60157985571875
5179,2010.0,0.0,0.0,0.0,0.0,0.0,295.69,295.49,296.34,291.25,303.44,2.36,4.0,1.38,0.76,0.0,-2.86,3.95,16.0,4.89,24.0,4.0,11.33,2.62,14.56,1.52,-4.04,2.36,-8.28,3.8899999999999997,-3.19,0.0,1.24,5.0,0.0,0.0,1.02,6.84,0.29,0.038888888,153.1019444,-26.6025,9.0,-0.22880505735294118,35.57860732352941,22.283627705882353,-0.17231248035294117,-0.5090246275588236,5.732538697058823,0.02056498273529412,-0.0635611121,0.2290958288235294
5181,2010.0,0.0,0.0,1.0,0.0,0.25,262.15,295.9866667,295.9966667,289.9266667,303.8666667,2.87,6.0,-0.07,0.98,0.0,-3.1433333330000006,4.553333333,11.33333333,5.693333333,28.0,7.0,1.236666667,4.583333333,27.180000000000003,2.98,-3.82,2.87,-9.873333333,4.05,-3.8,2.666666667,2.126666667,8.0,1.0,0.0,1.9,13.096666669999998,0.616666667,0.041287878,153.4013889,-27.47527778,10.0,-0.35123649727272727,35.01337756818182,23.044369590909092,-3.0781657090909094,1.1716853970454546,5.9869313568181814,-0.026869456875,-0.21197723835613635,0.3792297314545454
5208,2010.0,0.0,1.0,1.0,3.0,1.25,295.3,293.92,295.73,289.23,302.79,3.12,5.0,1.11,0.9,0.0,-3.12,2.99,15.0,5.09,26.0,6.0,1.01,3.27,21.21,2.24,-5.89,3.12,-10.57,2.98,-4.07,7.0,2.28,10.0,1.0,0.0,1.94,16.48,0.62,0.041287878,153.2091667,-27.281944440000004,9.0,-0.23873770631578947,35.59311165789474,21.75475963157895,0.10256438600000001,-0.8522302268421054,5.85339512631579,0.007874425321052632,-0.10791574436342105,0.303908075
5210,2010.0,0.0,0.0,0.0,0.0,0.0,298.38,296.51,295.79,289.05,302.82,3.13,5.0,0.49000000000000005,0.9,0.0,-3.81,2.9,12.0,5.2,24.0,6.0,2.1,3.27,19.61,2.15,-3.43,3.13,-10.88,2.87,-4.14,4.0,2.16,8.0,1.0,0.0,1.7899999999999998,14.51,0.59,0.041287878,153.2227778,-27.3,10.0,-0.3569996552631579,34.93526236842106,22.938661815789473,-3.0757202684210525,1.1991032815789473,5.958213573684211,-0.031757586828947366,-0.12074514470184211,0.328026095631579
5216,2010.0,0.0,0.0,0.0,0.0,0.0,296.91,296.07,296.8,291.54,302.69,2.18,12.0,0.92,0.8,0.0,-3.39,3.02,22.0,4.48,22.0,4.0,12.620000000000001,2.34,12.620000000000001,1.6,-3.61,2.18,-8.13,3.0,-2.87,3.0,1.38,5.0,0.0,0.0,1.05,7.27,0.33,0.041287878,153.5263889,-27.41416667,10.0,-0.33869660115384614,35.08894326923077,23.14153011538462,-3.1131565596153843,1.1719924571153846,6.015890178846154,-0.024094754757692308,-0.2841247149551923,0.4305539443076923
